SampleID,east,elev_sqrt,precip,temp
171817,0,19.67231557,1346,172
171819,0,15.26433752,1143,167
171820,1,35.35533906,381,142
171821,1,35.84689666,381,142
171823,1,35.08560959,381,152
171825,1,31.74901573,381,168
171826,1,30.6757233,381,169
171827,1,30.88689042,381,168
171829,1,38.69108424,533,123
171855,1,27.73084925,533,146
171856,1,35.31288717,432,141
171857,1,31.33687923,330,141
171858,1,35.73513677,432,160
171859,1,37.46998799,787,120
171860,1,26.5894716,533,142
171861,1,31.78049716,584,139
171862,1,32.07802986,635,139
171864,1,37.13488926,381,143
171865,1,36.30426972,330,144
171870,1,38.62641583,432,134
171872,1,37.8153408,381,145
171874,1,37.57658846,381,145
171877,1,35.94440151,330,143
171879,1,36.30426972,381,140
171880,1,37.78888726,381,142
171881,1,39.3192065,483,142
171882,1,36.57868232,330,142
171885,1,37.22902094,330,143
171886,1,38.37968212,381,134
171887,1,36.90528417,330,145
171889,1,38.34057903,483,142
171893,1,37.60319135,381,140
171895,1,36.19392214,330,156
171899,1,36.52396474,686,133
171900,1,37.20215048,381,154
171901,1,36.82390528,330,156
171902,1,30.8058436,533,151
171903,1,39.40812099,533,146
171904,1,38.72983346,533,149
171905,1,36.86461718,686,133
171906,1,38.0394532,483,154
171907,1,39.29376541,1143,130
171908,1,39.89987469,1143,124
171909,1,40.33608806,1092,121
171910,1,38.4317577,483,151
171911,1,36.7559519,838,133
171912,1,35.35533906,686,133
171913,1,39.43348831,533,148
171914,1,33.76388603,584,152
171915,1,38.65229618,1041,124
171925,1,21.47156973,533,154
171936,1,33.21144381,279,151
171937,1,34.0147027,432,142
171938,1,30.98386677,381,150
171939,1,27.4226184,381,153
171948,0,18.86796226,2210,136
171949,0,15.62049935,1397,163
171951,0,18.54723699,1956,150
171953,0,24.20743687,1041,151
171954,0,25.3968502,1194,173
171955,0,21.44761059,2057,130
171957,1,34.35112807,381,136
171958,1,28.77498914,432,154
171959,1,36.29049462,686,125
171960,1,33.04542328,381,134
171967,1,35.79106034,279,137
